0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
38.115273,18.9345,55.825653,15.269591,-1.4371322,12.096449,-1.237616,17.27482,17.635689,13.784933,25.306917,-0.961616,-1.2368597,-0.5271951,-1.1924523,7.8933425,18.020744,16.040365,-0.17066927,-0.17551409,18.999563,9.542466,-0.30228594,-1.2873219,18.423897,13.851178,-1.3195099,9.482629,23.221376,17.885393,-1.2034626,-0.6599446,20.898441,-0.053974032,-0.00040428186,23.567362,21.321589,-1.7242576,13.007959,17.115383,55.60923,-0.053117037,-1.1694776,-1.4776034,-0.032018833,17.625048,31.511887,24.544466,-0.10729825,4.9637823,-1.6316619,8.921104,27.246773,-1.6437423,-1.6525342,-1.1645013,23.318245,-0.8636118,21.337921,2.0377057,-1.0185419,7.5071063,-0.7880113,-0.018149761
-0.22337548,-0.2986109,-0.31798112,-0.24345231,-0.78778726,-0.18317224,-0.7707887,-0.24168222,-0.19763225,-0.17883733,-0.4466637,-0.5860539,-0.72319615,-0.23609163,-0.7238478,-0.11856522,-0.28079346,-0.19732662,-0.1648963,-0.20448217,-0.42263785,-0.12979364,-0.3643598,-0.70957077,-0.43722895,-0.23302524,-0.69036597,-0.09076967,-0.30157334,-0.2716911,-0.91804016,-0.54731274,-0.28981006,-0.29973444,-0.1280831,-0.27606145,-0.15018184,-0.8199344,-0.20479666,-0.43378562,-0.28402615,-0.3968671,-0.7038039,-0.7521619,-0.25040144,-0.28761014,-0.19063717,-0.3685576,-0.2701153,-0.15037446,-0.8262014,-0.24228369,-0.15926434,-0.8456172,-0.80151963,-0.74011254,-0.22246194,-0.6317483,-0.40037966,-0.1202949,-0.68789274,-0.19523548,-0.6000206,-0.054937348
-0.044311795,-0.20409411,-0.07371839,-0.17574905,-0.41892487,-0.18998353,-0.42574167,-0.21347544,-0.171739,-0.18572906,-0.24588193,-0.43121234,-0.3588023,-0.20015335,-0.43203086,-0.12705943,-0.12391013,-0.16746897,-0.1334382,-0.15666744,-0.21821205,-0.1331709,-0.1707191,-0.37255695,-0.24714181,-0.21626024,-0.3706575,-0.103488624,-0.14986062,-0.27018172,-0.67320156,-0.45262432,-0.212041,-0.11842037,-0.16774902,-0.03920558,-0.08610252,-0.44006896,-0.2368616,-0.24744812,-0.077757694,-0.088369995,-0.39976898,-0.40487918,-0.09328406,-0.22294292,-0.029009854,-0.25656483,-0.13331528,-0.09011543,-0.4322337,-0.16936216,-0.021145584,-0.44974294,-0.41494086,-0.5037234,-0.10457464,-0.48412263,-0.26243636,-0.14571463,-0.49794543,-0.13384101,-0.47751564,-0.0527923
21.212503,-0.02736949,29.069342,-0.032494362,-0.5805421,-0.09741256,-0.5197023,-0.07735731,-0.041194156,-0.0923086,1.3603488,-0.51280785,-0.48530844,-0.28388792,-0.540923,-0.07730104,5.1467924,-0.049468417,-0.1304399,-0.14362693,1.7294643,-0.07182515,-0.11033397,-0.50512916,-0.0040918677,-0.086578965,-0.53481936,-0.062283643,4.4369545,-0.11901022,-0.7304482,-0.5092412,-0.033094037,-0.009107676,-0.14958034,19.458464,3.3776026,-0.6892865,-0.14152093,-0.017856687,26.687996,8.118743,-0.5011455,-0.60287637,1.9589912,-0.062219117,19.556982,-0.02849138,-0.048083253,-0.008320264,-0.65290314,-0.046873264,16.01073,-0.6600307,-0.6513794,-0.5936915,7.7345257,-0.53309405,-0.04149839,-0.125092,-0.57503885,-0.034939867,-0.5512849,-0.044563055
2.884309,2.8004293,17.19833,0.36651126,-1.0758888,-0.05743079,-1.0515752,-0.0353921,-0.015794013,-0.043147366,7.935218,-0.8537371,-0.9561299,-0.33131275,-1.0572923,-0.03388427,8.654773,-0.02709732,-0.17352721,-0.24385747,9.655998,-0.056448083,-0.39412624,-1.0034833,7.8920608,-0.05756578,-0.8917001,-0.020281067,6.273249,-0.053156096,-1.3582412,-0.87441474,1.2264994,-0.25401768,-0.09345382,-0.033188272,4.847503,-1.1994386,-0.08971465,9.280246,14.381856,-0.21511419,-0.9914105,-1.1140784,-0.20505585,-0.024153965,3.9845846,4.1179714,-0.2895963,6.1971803,-1.082703,5.717575,-0.009971035,-1.1681473,-1.130756,-1.029244,10.833532,-0.94183785,2.8827324,-0.06773294,-1.0487282,5.352005,-0.96171516,-0.08264345
17.229483,-0.19574542,11.627863,-0.15924485,8.928238,-0.21250452,10.548787,-0.21558788,-0.16821735,-0.21542303,-0.2079267,-0.05527866,12.590185,-0.11158675,7.078087,-0.16657181,-0.08923773,-0.16110124,-0.06923641,-0.054081596,-0.18590465,-0.14787537,11.184333,12.647682,-0.21853346,-0.20837075,5.99805,-0.15161915,-0.100181386,-0.29385132,-0.06155755,-0.1257348,-0.19836885,13.324412,-0.22297199,22.332802,-0.06600718,9.682309,-0.2744049,-0.2482054,9.790992,25.063074,8.105127,10.596924,13.535902,-0.20720252,16.096825,-0.24172574,10.2240305,-0.12010636,6.130324,-0.2127798,15.796926,9.486423,10.140902,-0.016991418,-0.08820801,-0.07920912,-0.23986813,-0.2024306,-0.027737707,-0.1662775,-0.11196841,-0.016825173
-0.2550865,-0.21268733,-0.3865532,-0.17295682,2.6040423,-0.20044872,1.2840166,-0.21371648,-0.19776094,-0.20580822,-0.26257703,-0.07262057,4.92156,-0.107274815,-0.008916223,-0.16005369,-0.16460358,-0.18089332,-0.08367838,-0.055946484,-0.22782993,-0.16090187,0.6616964,4.645245,-0.2497591,-0.21193197,3.2978966,-0.14889817,-0.18871513,-0.2762438,-0.08104018,-0.078310326,-0.21629092,-0.02674906,-0.18771426,-0.1576733,-0.123735785,4.66349,-0.24464329,-0.2614383,-0.38548824,-0.005854337,0.029073013,3.778902,-0.033446915,-0.21116756,-0.2077141,-0.26584217,-0.018768445,-0.11966508,2.54464,-0.20898631,-0.14516288,2.8338623,5.225745,-0.053739335,-0.24679586,-0.090919286,-0.25529668,-0.17725858,-0.0479689,-0.15039577,-0.07913565,-0.05179755
-0.21542169,-0.31329077,-0.32261333,-0.2520193,-0.7168225,-0.19351943,-0.7015346,-0.25053185,-0.20969276,-0.19035138,-0.46022913,-0.5462259,-0.65637875,-0.23592459,-0.66137534,-0.12771606,-0.29181892,-0.20906562,-0.16582808,-0.1947997,-0.43703148,-0.13835627,-0.3306972,-0.6431965,-0.45172003,-0.2424222,-0.63439435,-0.09907491,-0.31234038,-0.2853489,-0.8436242,-0.50106376,-0.3000555,-0.27215165,-0.13454723,-0.2595549,-0.15745184,-0.7508242,-0.21744323,-0.4512395,-0.28874254,-0.367134,-0.64229095,-0.6794679,-0.22894713,-0.29834473,-0.18682043,-0.38379204,-0.24551967,-0.16106734,-0.7552431,-0.25809702,-0.147908,-0.7734254,-0.7287606,-0.686384,-0.23406602,-0.5884001,-0.41401634,-0.12786736,-0.63384014,-0.20659818,-0.5498314,-0.056087125
-0.6905594,30.521255,-1.1836038,25.023668,33.596863,31.199888,58.38589,35.992573,26.34726,33.14224,23.698565,67.5269,21.925875,-0.15126225,72.40186,30.689272,-0.046432227,27.279064,12.670081,34.83347,11.611905,21.901154,10.991358,41.84895,13.267582,31.956726,18.083696,26.860132,4.4289937,39.53605,100.973564,76.042725,31.868845,-0.03780609,25.269007,-0.58740586,7.2737923,34.82552,35.756348,12.245628,-1.0391155,-0.33402482,54.341385,39.29618,-0.097191125,31.641253,-0.60993654,37.21134,3.2312498,-0.09655428,8.189388,13.722683,-0.35867518,29.263632,19.657845,74.26124,-0.43426874,73.225044,32.447395,27.775331,83.101845,5.917256,76.725174,4.9011383
-0.6195554,-0.30825034,-0.866356,-0.23951204,-0.15084304,-0.2040827,-0.1488868,-0.24797076,-0.2354718,-0.2115715,-0.46348327,-0.10437772,-0.13088687,-0.12866615,-0.13053134,-0.16864067,-0.34031275,-0.22530504,-0.11004271,-0.064093925,-0.4298303,-0.17187558,-0.119797334,-0.10952532,-0.43257353,-0.23650043,-0.103216514,-0.16008537,-0.36603886,-0.29069662,-0.12100002,-0.04355882,-0.299507,-0.18680832,-0.16499525,-0.5197241,-0.21339644,-0.11059156,-0.2273147,-0.4408954,-0.8203571,-0.3119429,-0.1366121,-0.11850351,-0.19310932,-0.27981165,-0.5284473,-0.38106325,-0.12614155,-0.19016929,-0.14840412,-0.29790694,-0.39995646,-0.14713074,-0.1251274,-0.12106885,-0.44708478,-0.10558391,-0.3871839,-0.16598089,-0.07655036,-0.220069,-0.06546392,-0.06579428
