0,1,2,3,4,5,6,7
1.0,19.1649,10.134,0.0,-3.53215,0.334049,-0.432654,0.0
1.0,12.6756,3.6209,0.0,-4.36653,-0.103896,0.285883,0.0
1.0,1.30008,6.76155,0.0,-3.1855900000000004,-0.064693,-0.280885,0.0
1.0,12.7544,17.0375,0.0,-4.68345,0.375241,-0.0929767,0.0
1.0,13.9316,5.6816699999999996,0.0,-3.7138199999999997,0.25459699999999996,-0.00459996,0.0
2.0,17.3056,11.0714,0.0,-3.3769099999999996,-0.0683632,-0.054708400000000004,0.0
2.0,2.80463,6.36475,0.0,-3.8745199999999995,-0.0722918,-0.129132,0.0
2.0,8.65627,4.8901,0.0,-3.3611400000000002,0.10328699999999999,-0.46361800000000003,0.0
2.0,13.2241,1.63678,0.0,-3.8385,-0.186194,-0.40897,0.0
2.0,20.1191,7.609319999999999,0.0,-3.9188199999999997,-0.230845,-0.144939,0.0
2.0,13.1106,0.210168,0.0,-3.5006699999999995,0.105655,-0.126495,0.0
2.0,14.5599,10.3474,0.0,-3.8854,0.117056,0.0286592,0.0
1.0,5.01816,10.2211,0.0,-3.9121300000000003,-0.0185711,0.15329700000000002,0.0
1.0,10.0994,14.4887,0.0,-3.86004,0.161306,0.183321,0.0
1.0,9.94094,11.869000000000002,0.0,-4.63796,-0.367798,-0.45857299999999995,0.0
1.0,6.22269,17.1422,0.0,-3.63984,-0.474303,-0.180086,0.0
1.0,9.00207,20.2145,0.0,-4.79699,0.0503075,0.577655,0.0
1.0,11.6697,3.27407,0.0,-4.1211,0.545501,0.5133840000000001,0.0
1.0,15.866,8.2962,0.0,-3.88785,0.372521,-0.347829,0.0
1.0,1.43046,4.41195,0.0,-4.36261,0.09581360000000001,-0.137602,0.0
1.0,5.21021,3.8562300000000005,0.0,-3.45491,-0.107012,-0.31250300000000003,0.0
1.0,0.723317,11.1914,0.0,-4.3716800000000005,0.0692067,-0.257364,0.0
1.0,17.007,0.201567,0.0,-3.85353,0.173011,0.209742,0.0
1.0,11.0626,16.4501,0.0,-4.21957,-0.23493200000000003,-0.332543,0.0
1.0,12.0304,7.40895,0.0,-4.3952599999999995,0.12283499999999999,0.08245880000000001,0.0
2.0,8.63407,16.5649,0.0,-3.2975199999999996,0.6695770000000001,0.0206514,0.0
2.0,16.0175,3.60914,0.0,-3.39779,0.49266099999999996,-0.191492,0.0
2.0,14.4103,0.393557,0.0,-3.46708,-0.155898,-0.43541899999999994,0.0
2.0,19.9545,16.8498,0.0,-3.81434,0.192328,-0.049567900000000005,0.0
2.0,17.092,12.312000000000001,0.0,-3.15109,0.0523331,-0.426571,0.0
2.0,18.5022,8.203560000000001,0.0,-3.25696,-0.19448800000000002,-0.47051000000000004,0.0
2.0,16.7193,1.0218,0.0,-3.44096,-0.127775,0.23525700000000002,0.0
1.0,8.02015,3.8131699999999995,0.0,-3.4883800000000003,0.0144105,0.130164,0.0
1.0,3.3120800000000004,7.09848,0.0,-3.5293400000000004,0.316603,0.047008,0.0
1.0,13.8628,20.1182,0.0,-4.53172,-0.22465900000000003,-0.368145,0.0
