Pos_Score,Neg_Score,ROC_Score,Conf_00,Conf_01,Conf_10,Conf_11
0.5174110531806946,0.20000796020030975,0.7416173570019724,23,16,11,23
0.1755036562681198,0.00529525987803936,0.5591836734693877,15,20,15,15
0.7470052242279053,0.007968530990183353,0.8947368421052632,28,10,4,28
0.7731009125709534,0.08397545665502548,0.8691135734072022,24,14,4,24
0.9141014218330383,-0.0626726821064949,0.9842209072978304,29,10,1,29
0.9621728658676147,-0.031202202662825584,0.9926953981008034,29,8,0,29
0.8608203530311584,-0.16198229789733887,0.9941563184806428,33,4,0,33
0.21709156036376953,-0.01425950974225998,0.8803418803418803,31,8,10,31
0.5565423369407654,0.0980352982878685,0.8898891966759003,18,20,6,18
0.06596790999174118,-0.04817776754498482,0.5394736842105263,22,16,23,22
0.9858676195144653,-0.08939657360315323,0.9953977646285338,33,6,0,33
